method,noise_std,generalization_bin,epsilon,gender_mask_probability,hybrid_dp_budget_fraction,swap_fraction,perturbation_strength,optimizer,config_label,k_anonymity,average_equivalence_class_size,reidentification_risk,attribute_disclosure_risk,membership_inference_risk,information_leakage,privacy_score,privacy_loss,baseline_accuracy,masked_accuracy,baseline_roc_auc,masked_roc_auc,accuracy_drop,roc_auc_drop,information_loss,correlation_preservation,covariance_preservation,statistical_similarity,generalization_quality,utility_score,utility_loss,objective_score,mean_ks_statistic,mean_kl_divergence,mean_wasserstein_distance,mean_variance_preservation,overfitting_rate,underfitting_rate,memorization_risk_rate
hybrid,6.0,20,0.5,0.3,0.7,0.1,0.1,grid_random_genetic,hybrid|noise=6.0|bin=20|eps=0.5|gender_p=0.3|dp_fraction=0.7|swap=0.1|perturb=0.1,1.0,3.589375448671931,0.2786,0.5069479969206281,0.35852179892221986,0.40419139830634543,0.3663240943053294,0.6336759056946706,0.6840000000000002,0.645,0.7194207761958028,0.6619759803718486,0.039000000000000146,0.05744479582395423,0.24524450115476445,0.1104896721944314,0.0,0.786581754824954,0.7785,0.627231491929984,0.37276850807001605,0.03420567936595738,0.14339999999999997,0.4330183290346953,4.606151807945308,0.7068044989629647,0.5,0.0,0.5
differential_privacy,5.527232812182727,5,0.3572027577879418,0.04228353544043169,0.8321099380386666,0.4345344148835517,0.3637788066524075,optuna,differential_privacy|noise=5.527232812182727|bin=5|eps=0.3572027577879418|gender_p=0.04228353544043169|dp_fraction=0.8321099380386666|swap=0.4345344148835517|perturb=0.3637788066524075,1.0,3.5460992907801416,0.282,0.5354026043549182,0.37069091152422134,0.421371432395205,0.35845268881372266,0.6415473111862773,0.6840000000000002,0.6395,0.7194207761958028,0.6482859891640083,0.044500000000000206,0.07113478703179454,0.22574902336690572,0.0519444770930505,0.0,0.8158796418753885,0.907375,0.630085702056211,0.36991429794378905,0.028598575141596826,0.13136,0.4142616252753187,4.493608720683533,0.7913451731045791,0.0,0.0,0.0
hybrid,6.0,10,0.5,0.3,0.7,0.1,0.1,grid_random_genetic,hybrid|noise=6.0|bin=10|eps=0.5|gender_p=0.3|dp_fraction=0.7|swap=0.1|perturb=0.1,1.0,3.687315634218289,0.2712,0.5051523989501102,0.3530833396325386,0.3998738194225606,0.36950459231784566,0.6304954076821543,0.6840000000000002,0.644,0.7194207761958028,0.6561091700845614,0.04000000000000015,0.06331160611124143,0.24634285039370865,0.0,0.0,0.7871770820564314,0.784875,0.6064264992725378,0.3935735007274622,0.01790038670787543,0.14332000000000003,0.4251773984827615,4.571823056199398,0.7061867962476238,0.5,0.0,0.5
hybrid,1.5,20,0.5,0.075,0.7,0.1,0.1,grid_random_genetic,hybrid|noise=1.5|bin=20|eps=0.5|gender_p=0.075|dp_fraction=0.7|swap=0.1|perturb=0.1,1.0,3.536067892503536,0.2828,0.5117214442328236,0.3629225054814883,0.408706794328053,0.36366430735589683,0.6363356926441032,0.6840000000000002,0.65,0.7194207761958028,0.6657816966566776,0.03400000000000014,0.05363907953912517,0.24432945841269113,0.0,0.0,0.7833905029233328,0.7845,0.6101313965759128,0.38986860342408725,0.015240014024708717,0.14523999999999998,0.4275983871876381,4.622214685233007,0.700605461123688,0.5,0.0,0.5
differential_privacy,0.5092234012710989,5,0.375044189115728,0.630230008046963,0.7712964881763901,0.42277452370388513,0.402672307692442,optuna,differential_privacy|noise=0.5092234012710989|bin=5|eps=0.375044189115728|gender_p=0.630230008046963|dp_fraction=0.7712964881763901|swap=0.42277452370388513|perturb=0.402672307692442,1.0,3.3090668431502315,0.3022,0.5393236633969853,0.3851932821889449,0.43261801486834195,0.3502412830054027,0.6497587169945973,0.6840000000000002,0.6465000000000001,0.7194207761958028,0.6627965052315652,0.03750000000000009,0.05662427096423761,0.2237286262261305,0.04143714408199484,0.0,0.8193352464661011,0.773625,0.6210226802857524,0.37897731971424764,0.01137098644073583,0.12984,0.41042381193046734,4.443771992816449,0.7953406073300215,0.5,0.0,0.5
hybrid,1.5,10,0.5,0.075,0.7,0.1,0.1,grid_random_genetic,hybrid|noise=1.5|bin=10|eps=0.5|gender_p=0.075|dp_fraction=0.7|swap=0.1|perturb=0.1,1.0,3.467406380027739,0.2884,0.5113992328102682,0.36644973148359383,0.41104957804564757,0.3616919294118346,0.6383080705881654,0.6840000000000002,0.639,0.7194207761958028,0.6549226888357984,0.04500000000000015,0.0644980873600044,0.24522528769614943,0.0,0.0,0.7853156648054384,0.76575,0.6022157968324147,0.39778420316758534,0.005678913536117353,0.14252,0.4334092459369794,4.535756270596642,0.7019655434495098,0.5,0.0,0.5
differential_privacy,0.0,10,0.5,0.0,0.7,0.0,0.0,grid_random_genetic,differential_privacy|noise=0.0|bin=10|eps=0.5|gender_p=0.0|dp_fraction=0.7|swap=0.0|perturb=0.0,1.0,2.6925148088314486,0.3714,0.5654760922674992,0.4393266322936247,0.47814185074712456,0.32071742701845807,0.6792825729815419,0.6840000000000002,0.655,0.7194207761958028,0.66580356197552,0.029000000000000137,0.05361721422028276,0.21062146539968782,0.10252054571765479,0.0,0.8217702732741827,0.78075,0.6374845043308106,0.3625154956691894,-0.00422025790291071,0.13244,0.3767540617027664,4.311724798483352,0.7963036416286116,0.5,0.0,0.5
noise,0.5,10,1.0,0.025,0.7,0.0,0.0,grid_random_genetic,noise|noise=0.5|bin=10|eps=1.0|gender_p=0.025|dp_fraction=0.7|swap=0.0|perturb=0.0,1.0,1.0141987829614605,0.986,0.9835109633818583,0.9851288371836504,0.984631029860022,0.04569229127740963,0.9543077087225904,0.6840000000000002,0.66,0.7194207761958028,0.6978995484236256,0.024000000000000132,0.021521227772177243,0.010483388731803104,0.924048191099618,0.8802715242302626,0.9799020442100653,0.528,0.9079632657060819,0.09203673429391812,-0.038769346610085506,0.07780000000000001,0.038753200787122175,0.060460942760422,0.9499491298367463,0.5,0.0,0.5
feature_perturbation,6.0,10,0.75,0.3,0.5,0.1,0.1,grid_random_genetic,feature_perturbation|noise=6.0|bin=10|eps=0.75|gender_p=0.3|dp_fraction=0.5|swap=0.1|perturb=0.1,1.0,1.0322047894302229,0.9688,0.940893553045263,0.9590327435658421,0.9534514541748947,0.06034588723241812,0.9396541127675819,0.6840000000000002,0.6685000000000001,0.7194207761958028,0.6993300005984193,0.01550000000000007,0.02009077559738348,0.04163991760802633,0.8469027979285021,0.9053138444820436,0.938363821493516,0.516,0.8914985894662132,0.10850141053378681,-0.03886892192422747,0.03240000000000001,0.02270856906441735,0.09013806613917281,0.8496786439431603,0.5,0.0,0.5
feature_perturbation,0.0,10,1.0,0.0,0.7,0.0,0.05,grid_random_genetic,feature_perturbation|noise=0.0|bin=10|eps=1.0|gender_p=0.0|dp_fraction=0.7|swap=0.0|perturb=0.05,1.0,1.0334849111202977,0.9676,0.9724912623591496,0.9693119418257024,0.9702901942975324,0.053330660790460074,0.9466693392095399,0.6840000000000002,0.6655,0.7194207761958028,0.7024670984491734,0.018500000000000183,0.01695367774662937,0.019815776615318893,0.8670181246900469,0.8983822522647938,0.967272676932659,0.495375,0.8972101896061836,0.1027898103938164,-0.04087252368822108,0.017720000000000024,0.010743536322961844,0.06807624371172835,0.9237364986566619,0.5,0.0,0.5
noise,1.5,10,1.0,0.075,0.7,0.0,0.0,grid_random_genetic,noise|noise=1.5|bin=10|eps=1.0|gender_p=0.075|dp_fraction=0.7|swap=0.0|perturb=0.0,1.0,1.012965964343598,0.9872,0.9467323912628146,0.9730363369419851,0.964942815194548,0.05391244674614439,0.9460875532538556,0.6840000000000002,0.6505000000000001,0.7194207761958028,0.6958879390901266,0.033500000000000085,0.02353283710567622,0.03352535327644447,0.9265786839443697,0.8355171789662391,0.9434760939585385,0.518625,0.8916030973053363,0.10839690269466373,-0.045557441729274915,0.09116,0.11427541776415744,0.09234102996655176,0.8507679740751533,0.5,0.0,0.5
noise,1.0,30,1.5,0.05,0.7,0.0,0.05,grid_random_genetic,noise|noise=1.0|bin=30|eps=1.5|gender_p=0.05|dp_fraction=0.7|swap=0.0|perturb=0.05,1.0,1.013993104846887,0.9862,0.9645227667106872,0.9786129683487405,0.974277521690878,0.05005190157854033,0.9499480984214597,0.6840000000000002,0.6575,0.7194207761958028,0.6975427984846183,0.02650000000000019,0.021877977711184493,0.02262896248349227,0.9093885248122531,0.8442240801041919,0.9595955688842487,0.5085000000000001,0.8944074570595089,0.10559254294049114,-0.04698019691340407,0.08556000000000001,0.08790494853662606,0.0763283698223439,0.8949233850552488,0.5,0.0,0.5
feature_perturbation,3.0,15,0.25,0.15,0.8,0.35,0.1,grid_random_genetic,feature_perturbation|noise=3.0|bin=15|eps=0.25|gender_p=0.15|dp_fraction=0.8|swap=0.35|perturb=0.1,1.0,1.034340091021928,0.9668,0.942274891594454,0.9582162120580588,0.9533111903769498,0.06057680843246486,0.9394231915675352,0.6840000000000002,0.664,0.7194207761958028,0.7006223560226295,0.02000000000000013,0.018798420173173347,0.04064691565207973,0.8352373344302214,0.8137529404611603,0.9414034219267002,0.502875,0.8762293083605497,0.12377069163945031,-0.053054770703030156,0.029840000000000005,0.02219282604837298,0.0886754629623929,0.8536157555242058,0.5,0.0,0.5
noise,1.5,30,2.0,0.075,0.8,0.2,0.2,grid_random_genetic,noise|noise=1.5|bin=30|eps=2.0|gender_p=0.075|dp_fraction=0.8|swap=0.2|perturb=0.2,1.0,1.0158472165786265,0.9844,0.9473956192321832,0.9714484667312642,0.9640475905777008,0.054530296261146395,0.9454697037388536,0.6840000000000002,0.6585000000000001,0.7194207761958028,0.6974242654403675,0.025500000000000078,0.021996510755435295,0.0335016427879313,0.851284920374712,0.7784117093383501,0.943891728339047,0.536625,0.8763053964815813,0.12369460351841866,-0.05936193776939622,0.08952,0.11053124297764572,0.0891751512117125,0.8531299200209805,0.5,0.0,0.5
feature_perturbation,0.0,10,1.0,0.0,0.7,0.0,0.1,grid_random_genetic,feature_perturbation|noise=0.0|bin=10|eps=1.0|gender_p=0.0|dp_fraction=0.7|swap=0.0|perturb=0.1,1.0,1.031778786628147,0.9692,0.9449546409084567,0.9607141243179598,0.9558650524996513,0.059291276281809,0.940708723718191,0.6840000000000002,0.6485000000000001,0.7194207761958028,0.6841071354591027,0.03550000000000009,0.03531364073670007,0.03869200965932874,0.8327092515550745,0.8192785585973573,0.9447082298703592,0.5201250000000001,0.8696471483105309,0.13035285168946908,-0.06063114836923982,0.028480000000000005,0.021506841084480564,0.08564959990940006,0.8578987628163738,0.5,0.0,0.5
feature_perturbation,7.637504702474039,20,4.213718325485818,0.20670225873171152,0.5385181735846869,0.10257082314387377,0.19219850488181534,optuna,feature_perturbation|noise=7.637504702474039|bin=20|eps=4.213718325485818|gender_p=0.20670225873171152|dp_fraction=0.5385181735846869|swap=0.10257082314387377|perturb=0.19219850488181534,1.0,1.0358400662937643,0.9654,0.8942245391167652,0.9404885886908678,0.926253496514221,0.07213501518570219,0.9278649848142978,0.6840000000000002,0.6625000000000001,0.7194207761958028,0.6945092731968017,0.021500000000000075,0.024911502999001134,0.07564079783121307,0.7403349050987531,0.7658799379514152,0.9076805331692226,0.518625,0.8463461534466593,0.1536538465533407,-0.06910044397199112,0.0508,0.04504385148379287,0.12520086564981628,0.7876896434052588,0.5,0.0,0.5
noise,3.0,25,2.0,0.15,0.8,0.0,0.05,grid_random_genetic,noise|noise=3.0|bin=25|eps=2.0|gender_p=0.15|dp_fraction=0.8|swap=0.0|perturb=0.05,1.0,1.022704029453876,0.9778,0.8950832074517318,0.948849122608106,0.9323057640984524,0.06851328650310337,0.9314867134968966,0.6840000000000002,0.661,0.7194207761958028,0.6920292857175738,0.02300000000000013,0.027391490478228975,0.0673437972056006,0.8290072390580988,0.6714214946699433,0.905635658104841,0.51375,0.849527453485722,0.150472546514278,-0.06991503919521862,0.10244000000000002,0.1502046858768033,0.13484605576554615,0.7426441774108461,0.5,0.0,0.5
hybrid,5.634056205172993,20,1.3848398355743563,0.25625,0.6,0.09105482066857212,0.12178268337614645,grid_random_genetic,hybrid|noise=5.634056205172993|bin=20|eps=1.3848398355743563|gender_p=0.25625|dp_fraction=0.6|swap=0.09105482066857212|perturb=0.12178268337614645,1.0,2.0161290322580645,0.496,0.5703200886292992,0.5220120310202547,0.5368760487461146,0.2808496116517525,0.7191503883482475,0.6840000000000002,0.648,0.7194207761958028,0.6698152725799695,0.03600000000000014,0.04960550361583327,0.21502996676401281,0.012581591317925356,0.0,0.7855735057247085,0.70275,0.6061235187505992,0.3938764812494008,-0.07591693448808487,0.14492000000000002,0.3196072585805584,3.8461931373042235,0.6733516677649547,0.5,0.0,0.5
noise,2.659302295676091,5,1.9817489745973935,0.15,0.7,0.03730261452833067,0.05474208191079466,grid_random_genetic,noise|noise=2.659302295676091|bin=5|eps=1.9817489745973935|gender_p=0.15|dp_fraction=0.7|swap=0.03730261452833067|perturb=0.05474208191079466,1.0,1.0204081632653061,0.98,0.903553614546078,0.9532437650911273,0.937954488000343,0.06593704992415932,0.9340629500758407,0.6840000000000002,0.6495,0.7194207761958028,0.6847665474431387,0.0345000000000002,0.03465422875266411,0.06384239454522077,0.8236118072014094,0.676332327446852,0.909043075454624,0.513,0.8440392533609391,0.1559607466390609,-0.07781931790392452,0.10183999999999997,0.1406250145985372,0.12567602855048493,0.7514278380262334,0.5,0.0,0.5
